Date,High,Low,Open,Close,Volume,Adj Close
21-01-2014,5022000,4924800,5022000,5005800,0,5005800
22-01-2014,5005800,4082400,4924800,4082400,0,4082400
23-01-2014,4924800,4212000,4228200,4924800,0,4924800
24-01-2014,4536000,3985200,4536000,4066200,0,4066200
27-01-2014,4131000,3726000,4131000,3839400,0,3839400
28-01-2014,3888000,3645000,3888000,3645000,0,3645000
29-01-2014,4941000,4941000,4941000,4941000,0,4941000
30-01-2014,4941000,4941000,4941000,4941000,0,4941000
31-01-2014,4843800,4131000,4131000,4617000,0,4617000
03-02-2014,4536000,4050000,4536000,4050000,0,4050000
04-02-2014,4860000,4455000,4779000,4698000,0,4698000
05-02-2014,4698000,4698000,4698000,4698000,0,4698000
06-02-2014,4536000,4050000,4131000,4050000,0,4050000
07-02-2014,4617000,4455000,4617000,4552200,0,4552200
10-02-2014,4131000,4131000,4131000,4131000,0,4131000
11-02-2014,4131000,4131000,4131000,4131000,0,4131000
12-02-2014,4860000,4455000,4552200,4617000,0,4617000
13-02-2014,5184000,4455000,4746600,5184000,0,5184000
14-02-2014,5184000,4779000,4779000,5184000,0,5184000
18-02-2014,5184000,3645000,5184000,4341600,0,4341600
19-02-2014,4649400,4536000,4649400,4536000,0,4536000
20-02-2014,4536000,4536000,4536000,4536000,0,4536000
21-02-2014,4698000,4649400,4649400,4698000,0,4698000
24-02-2014,4779000,4698000,4698000,4698000,0,4698000
25-02-2014,4843800,4633200,4633200,4698000,0,4698000
26-02-2014,4843800,4649400,4698000,4698000,0,4698000
27-02-2014,5184000,4843800,4843800,4941000,0,4941000
28-02-2014,5184000,4876200,4876200,5184000,0,5184000
03-03-2014,5184000,4941000,4941000,5184000,0,5184000
04-03-2014,5589000,4941000,5103000,5589000,0,5589000
05-03-2014,6318000,5670000,5670000,5670000,0,5670000
06-03-2014,6318000,4843800,4876200,6318000,0,6318000
07-03-2014,6237000,6237000,6237000,6237000,0,6237000
10-03-2014,7614000,6318000,6318000,7565400,0,7565400
11-03-2014,9963000,7597800,7597800,9963000,0,9963000
12-03-2014,10125000,7743600,10125000,9072000,0,9072000
13-03-2014,14596200,9720000,10530000,9720000,0,9720000
14-03-2014,11988000,9720000,10206000,10530000,0,10530000
17-03-2014,10449000,8424000,9315000,9720000,0,9720000
18-03-2014,10530000,10125000,10125000,10530000,0,10530000
19-03-2014,11971800,10351800,10530000,10351800,0,10351800
20-03-2014,10530000,9720000,10530000,9720000,0,9720000
21-03-2014,9963000,9882000,9882000,9882000,0,9882000
24-03-2014,11259000,10530000,10530000,10530000,0,10530000
25-03-2014,9882000,8116200,9882000,9477000,0,9477000
26-03-2014,10125000,9136800,9720000,9558000,0,9558000
27-03-2014,9963000,9072000,9963000,9234000,0,9234000
28-03-2014,9558000,9558000,9558000,9558000,0,9558000
31-03-2014,9720000,9703800,9703800,9720000,0,9720000
01-04-2014,9558000,8764200,8910000,8910000,0,8910000
02-04-2014,8910000,8181000,8910000,8910000,0,8910000
03-04-2014,9315000,8748000,8748000,9315000,0,9315000
04-04-2014,10368000,8440200,9558000,9315000,0,9315000
07-04-2014,9639000,7290000,9315000,7290000,0,7290000
08-04-2014,7435800,6156000,7290000,6156000,0,6156000
09-04-2014,6156000,6156000,6156000,6156000,0,6156000
10-04-2014,4860000,4252500,4860000,4762800,0,4762800
11-04-2014,4779000,4455000,4592700,4779000,0,4779000
14-04-2014,4851900,4511700,4851900,4512510,0,4512510
15-04-2014,4544100,4382100,4458240,4495500,0,4495500
16-04-2014,4536000,4430700,4455000,4430700,0,4430700
17-04-2014,4576500,4252500,4422600,4576500,0,4576500
21-04-2014,4657500,4260600,4657500,4333500,0,4333500
22-04-2014,4260600,4232250,4252500,4252500,0,4252500
23-04-2014,4333500,4171500,4212000,4171500,0,4171500
24-04-2014,4429890,4050000,4131000,4429890,0,4429890
25-04-2014,4527900,4179600,4527900,4398300,0,4398300
28-04-2014,4455000,4212000,4293000,4252500,0,4252500
29-04-2014,4430700,4203900,4203900,4293000,0,4293000
30-04-2014,4301100,4252500,4293000,4301100,0,4301100
01-05-2014,4301100,4252500,4293000,4293000,0,4293000
02-05-2014,4406400,4293000,4293000,4406400,0,4406400
05-05-2014,4293000,4252500,4293000,4252500,0,4252500
06-05-2014,4275180,4139100,4260600,4155300,0,4155300
07-05-2014,4203900,4139100,4147200,4203900,0,4203900
